symbol,metric,expected_quarters,filled_quarters,coverage,excluded_from_phase_4
AKBNK,revenue,32,32,1.0000,no
AKBNK,net_income,32,32,1.0000,no
AKBNK,roe,32,32,1.0000,no
AKBNK,debt_to_equity,32,32,1.0000,no
AKSEN,revenue,32,32,1.0000,no
AKSEN,net_income,32,32,1.0000,no
AKSEN,roe,32,32,1.0000,no
AKSEN,debt_to_equity,32,32,1.0000,no
ARCLK,revenue,32,32,1.0000,no
ARCLK,net_income,32,32,1.0000,no
ARCLK,roe,32,32,1.0000,no
ARCLK,debt_to_equity,32,32,1.0000,no
ASELS,revenue,32,32,1.0000,no
ASELS,net_income,32,32,1.0000,no
ASELS,roe,32,32,1.0000,no
ASELS,debt_to_equity,32,32,1.0000,no
ASTOR,revenue,32,32,1.0000,no
ASTOR,net_income,32,32,1.0000,no
ASTOR,roe,32,32,1.0000,no
ASTOR,debt_to_equity,32,32,1.0000,no
BIMAS,revenue,32,32,1.0000,no
BIMAS,net_income,32,32,1.0000,no
BIMAS,roe,32,32,1.0000,no
BIMAS,debt_to_equity,32,32,1.0000,no
EKGYO,revenue,32,32,1.0000,no
EKGYO,net_income,32,32,1.0000,no
EKGYO,roe,32,32,1.0000,no
EKGYO,debt_to_equity,32,32,1.0000,no
ENKAI,revenue,32,32,1.0000,no
ENKAI,net_income,32,32,1.0000,no
ENKAI,roe,32,32,1.0000,no
ENKAI,debt_to_equity,32,32,1.0000,no
EREGL,revenue,32,32,1.0000,no
EREGL,net_income,32,32,1.0000,no
EREGL,roe,32,32,1.0000,no
EREGL,debt_to_equity,32,32,1.0000,no
FROTO,revenue,32,32,1.0000,no
FROTO,net_income,32,32,1.0000,no
FROTO,roe,32,32,1.0000,no
FROTO,debt_to_equity,32,32,1.0000,no
GARAN,revenue,32,32,1.0000,no
GARAN,net_income,32,32,1.0000,no
GARAN,roe,32,32,1.0000,no
GARAN,debt_to_equity,32,32,1.0000,no
HALKB,revenue,32,32,1.0000,no
HALKB,net_income,32,32,1.0000,no
HALKB,roe,32,32,1.0000,no
HALKB,debt_to_equity,32,32,1.0000,no
ISCTR,revenue,32,32,1.0000,no
ISCTR,net_income,32,32,1.0000,no
ISCTR,roe,32,32,1.0000,no
ISCTR,debt_to_equity,32,32,1.0000,no
KCHOL,revenue,32,32,1.0000,no
KCHOL,net_income,32,32,1.0000,no
KCHOL,roe,32,32,1.0000,no
KCHOL,debt_to_equity,32,32,1.0000,no
KOZAA,revenue,32,32,1.0000,no
KOZAA,net_income,32,32,1.0000,no
KOZAA,roe,32,32,1.0000,no
KOZAA,debt_to_equity,32,32,1.0000,no
KOZAL,revenue,32,32,1.0000,no
KOZAL,net_income,32,32,1.0000,no
KOZAL,roe,32,32,1.0000,no
KOZAL,debt_to_equity,32,32,1.0000,no
MGROS,revenue,32,32,1.0000,no
MGROS,net_income,32,32,1.0000,no
MGROS,roe,32,32,1.0000,no
MGROS,debt_to_equity,32,32,1.0000,no
OYAKC,revenue,32,32,1.0000,no
OYAKC,net_income,32,32,1.0000,no
OYAKC,roe,32,32,1.0000,no
OYAKC,debt_to_equity,32,32,1.0000,no
PETKM,revenue,32,32,1.0000,no
PETKM,net_income,32,32,1.0000,no
PETKM,roe,32,32,1.0000,no
PETKM,debt_to_equity,32,32,1.0000,no
PGSUS,revenue,32,32,1.0000,no
PGSUS,net_income,32,32,1.0000,no
PGSUS,roe,32,32,1.0000,no
PGSUS,debt_to_equity,32,32,1.0000,no
SAHOL,revenue,32,32,1.0000,no
SAHOL,net_income,32,32,1.0000,no
SAHOL,roe,32,32,1.0000,no
SAHOL,debt_to_equity,32,32,1.0000,no
SASA,revenue,32,32,1.0000,no
SASA,net_income,32,32,1.0000,no
SASA,roe,32,32,1.0000,no
SASA,debt_to_equity,32,32,1.0000,no
SISE,revenue,32,32,1.0000,no
SISE,net_income,32,32,1.0000,no
SISE,roe,32,32,1.0000,no
SISE,debt_to_equity,32,32,1.0000,no
TAVHL,revenue,32,32,1.0000,no
TAVHL,net_income,32,32,1.0000,no
TAVHL,roe,32,32,1.0000,no
TAVHL,debt_to_equity,32,32,1.0000,no
TCELL,revenue,32,32,1.0000,no
TCELL,net_income,32,32,1.0000,no
TCELL,roe,32,32,1.0000,no
TCELL,debt_to_equity,32,32,1.0000,no
THYAO,revenue,32,32,1.0000,no
THYAO,net_income,32,32,1.0000,no
THYAO,roe,32,32,1.0000,no
THYAO,debt_to_equity,32,32,1.0000,no
TOASO,revenue,32,32,1.0000,no
TOASO,net_income,32,32,1.0000,no
TOASO,roe,32,32,1.0000,no
TOASO,debt_to_equity,32,32,1.0000,no
TUPRS,revenue,32,32,1.0000,no
TUPRS,net_income,32,32,1.0000,no
TUPRS,roe,32,32,1.0000,no
TUPRS,debt_to_equity,32,32,1.0000,no
ULKER,revenue,32,32,1.0000,no
ULKER,net_income,32,32,1.0000,no
ULKER,roe,32,32,1.0000,no
ULKER,debt_to_equity,32,32,1.0000,no
VAKBN,revenue,32,32,1.0000,no
VAKBN,net_income,32,32,1.0000,no
VAKBN,roe,32,32,1.0000,no
VAKBN,debt_to_equity,32,32,1.0000,no
YKBNK,revenue,32,32,1.0000,no
YKBNK,net_income,32,32,1.0000,no
YKBNK,roe,32,32,1.0000,no
YKBNK,debt_to_equity,32,32,1.0000,no
